crop,best_season,season_start,season_end,days_to_maturity
coconut,Rainy,4,10,365
lentil,Cool,10,2,105
rice,Rainy,5,11,135
cotton,Rainy,5,11,165
banana,Year-round,1,12,330
watermelon,Dry,11,3,85
grapes,Dry,11,3,165
muskmelon,Dry,11,3,100
blackgram,Rainy,6,10,105
coffee,Rainy,3,5,270
apple,Cool,10,2,190
orange,Cool,10,2,270
mothbeans,Rainy,6,10,83
mango,Dry,11,3,125
chickpea,Cool,10,2,105
kidneybeans,Rainy,5,8,83
pigeonpeas,Rainy,6,11,150
papaya,Year-round,1,12,225
jute,Rainy,4,7,135
pomegranate,Dry,2,5,210
mungbean,Rainy,6,9,75
maize,Rainy,4,8,105